<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<AMOUNT>;<VOLUME>
Сбербанк;D;2022-08-14;000000;124.88;124.88;124.88;124.88;0;0
Сбербанк;D;2022-08-15;000000;124.56;125.7;123.28;125;25355480;3150239987.1
Сбербанк;D;2022-08-16;000000;125.2;126.86;124.53;126.39;27290920;3439359278
Сбербанк;D;2022-08-17;000000;126.58;127.44;124.5;124.5;32888950;4134398010.8
Сбербанк;D;2022-08-18;000000;124.39;126.5;123.92;126.3;25415410;3189014037
Сбербанк;D;2022-08-19;000000;126.3;126.36;124.72;125.2;18676990;2339575284.4
Сбербанк;D;2022-08-20;000000;125.2;125.2;125.2;125.2;0;0
Сбербанк;D;2022-08-21;000000;125.2;125.2;125.2;125.2;0;0
Сбербанк;D;2022-08-22;000000;125;126.69;124.7;126.06;24510110;3083949126.3
Сбербанк;D;2022-08-23;000000;126.06;130.49;126.01;130.38;65419130;8448692324.8
Сбербанк;D;2022-08-24;000000;130.6;131.64;127.85;128.15;45833690;5940974237.7
Сбербанк;D;2022-08-25;000000;128.15;129.81;127.1;128.18;36067720;4630467612.5
Сбербанк;D;2022-08-26;000000;128.02;130.5;127.62;130.4;32879870;4251007186.7
Сбербанк;D;2022-08-27;000000;130.4;130.4;130.4;130.4;0;0
Сбербанк;D;2022-08-28;000000;130.4;130.4;130.4;130.4;0;0
Сбербанк;D;2022-08-29;000000;130.12;131.4;129.52;131.17;40911490;5342794309.5
Сбербанк;D;2022-08-30;000000;131.17;132.6;129.65;130.05;51084490;6706724051.1
Сбербанк;D;2022-08-31;000000;132.3;138.34;131.5;134.25;107450510;14439588088.8
Сбербанк;D;2022-09-01;000000;133.99;138.22;132.02;138.2;54942470;7406741299.8
Сбербанк;D;2022-09-02;000000;138.8;144.9;136.22;143.8;136891810;19355155393
Сбербанк;D;2022-09-03;000000;143.8;143.8;143.8;143.8;0;0
Сбербанк;D;2022-09-04;000000;143.8;143.8;143.8;143.8;0;0
Сбербанк;D;2022-09-05;000000;143.5;145.1;139.11;141;87603050;12371122690.1
Сбербанк;D;2022-09-06;000000;140.9;141.07;135.22;137.23;86674520;11990944909.2
Сбербанк;D;2022-09-07;000000;136.96;139.19;135.41;136.86;60753730;8339250748.2
Сбербанк;D;2022-09-08;000000;136.69;137.4;134;134.51;57744420;7829982200.8
